/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
False
iter is 4960, change detection loss is nan, classification loss is nan
iter is 4970, change detection loss is nan, classification loss is nan
iter is 4980, change detection loss is nan, classification loss is nan
iter is 4990, change detection loss is nan, classification loss is nan
iter is 5000, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 5010, change detection loss is nan, classification loss is nan
iter is 5020, change detection loss is nan, classification loss is nan
iter is 5030, change detection loss is nan, classification loss is nan
iter is 5040, change detection loss is nan, classification loss is nan
iter is 5050, change detection loss is nan, classification loss is nan
iter is 5060, change detection loss is nan, classification loss is nan
iter is 5070, change detection loss is nan, classification loss is nan
iter is 5080, change detection loss is nan, classification loss is nan
iter is 5090, change detection loss is nan, classification loss is nan
iter is 5100, change detection loss is nan, classification loss is nan
iter is 5110, change detection loss is nan, classification loss is nan
iter is 5120, change detection loss is nan, classification loss is nan
iter is 5130, change detection loss is nan, classification loss is nan
iter is 5140, change detection loss is nan, classification loss is nan
iter is 5150, change detection loss is nan, classification loss is nan
iter is 5160, change detection loss is nan, classification loss is nan
iter is 5170, change detection loss is nan, classification loss is nan
iter is 5180, change detection loss is nan, classification loss is nan
iter is 5190, change detection loss is nan, classification loss is nan
iter is 5200, change detection loss is nan, classification loss is nan
iter is 5210, change detection loss is nan, classification loss is nan
iter is 5220, change detection loss is nan, classification loss is nan
iter is 5230, change detection loss is nan, classification loss is nan
